Timestamp,Raw,Notch_50Hz,Butterworth,Final_Result,Artifact,SNR
696460,527,526.98,-4.79,-4.79,0,8.86
696465,524,524.12,-6.78,-6.78,0,8.86
696470,522,522.02,-8.76,-8.76,0,8.86
696475,519,518.88,-10.72,-10.72,0,8.86
696480,517,516.97,-12.65,-12.65,0,8.86
696485,515,515.13,-14.53,-14.53,0,8.86
696490,511,511.03,-16.36,-16.36,0,8.86
696495,510,509.87,-18.12,-18.12,0,8.86
696500,508,507.97,-19.81,-19.81,0,8.86
696505,506,506.14,-21.41,-21.41,0,8.86
696510,503,503.03,-22.91,-22.91,0,8.86
696515,502,501.85,-24.31,-24.31,0,8.86
696520,501,500.97,-25.59,-25.59,0,8.86
696525,499,499.16,-26.76,-26.76,0,8.86
696530,498,498.03,-27.8,-27.8,0,8.86
696535,495,494.83,-28.7,-28.7,0,8.86
696540,494,493.97,-29.48,-29.48,0,8.86
696545,492,492.18,-30.11,-30.11,0,8.86
696550,491,491.03,-30.6,-30.6,0,8.86
696555,492,491.81,-30.95,-30.95,0,8.86
696560,487,486.97,-31.16,-30.96,0,8.86
696565,490,490.2,-31.23,-30.96,0,8.86
696570,487,487.03,-31.16,-30.96,0,8.86
696575,492,491.79,-30.96,-30.96,0,8.86
696580,491,490.97,-30.65,-30.65,0,8.86
696585,490,490.21,-30.21,-30.21,0,8.86
696590,495,495.03,-29.67,-29.67,0,8.86
696595,495,494.79,-29.04,-29.04,0,8.86
696600,494,493.97,-28.31,-28.31,0,8.86
696605,494,494.21,-27.52,-27.52,0,8.86
696610,496,496.04,-26.65,-26.65,0,8.86
696615,499,498.8,-25.74,-25.74,0,8.86
696620,496,495.95,-24.79,-24.79,0,8.86
696625,502,502.19,-23.81,-23.81,0,8.86
696630,500,500.06,-22.81,-22.81,0,8.86
696635,504,503.81,-21.81,-21.81,0,8.86
696640,506,505.93,-20.82,-20.82,0,8.86
696645,507,507.18,-19.84,-19.84,0,8.86
696650,508,508.07,-18.9,-18.9,0,8.86
