Subject,BPM,RMSSD,SDNN,LF_HF,Label
S3,1.0147107766971675,0.993628836287185,0.9638820617167633,1.1604062656967113,Baseline
S3,1.0147107766971675,0.993628836287185,0.9638820617167633,1.1604062656967113,Baseline
S3,1.0106021331722541,1.0481394290115595,0.9924241268446846,1.2974177640508682,Baseline
S3,1.0154942834445317,1.0814103331709295,1.0567858324656962,0.9742975805056395,Baseline
S3,1.023547821413011,1.2369110182480287,1.1268404418269407,0.7932793061221234,Baseline
S3,0.9975347155060488,1.1813413695610724,1.082679173533472,0.5802520984290681,Baseline
S3,0.9887372472098436,1.1450630657549108,0.9537169373103879,0.35356262111778985,Baseline
S3,0.9907760869781252,1.1307810904714837,1.0205039069803201,0.2016456296858098,Baseline
S3,0.9972822253962521,1.187308075604786,1.0605328263501617,0.33494603931055605,Baseline
S3,0.9972822253962521,1.187308075604786,1.0605328263501617,0.33494603931055605,Baseline
S3,0.9936381082934539,1.1680119920269472,1.0290580190428176,0.43147897106958855,Baseline
S3,0.9936381082934539,1.1680119920269472,1.0290580190428176,0.43147897106958855,Baseline
S3,0.995366173550516,1.0928168274104995,0.9621641497286384,0.3390403503783011,Baseline
S3,1.0021030155973374,1.063558204332816,0.978635665146594,0.33370505144894075,Baseline
S3,1.0042675091298738,1.0920419618829242,0.9910378701410973,0.3339178117323014,Baseline
S3,1.0009984235135714,1.0744533778446752,0.9595173075071713,0.33220332917369594,Baseline
S3,1.001730689163287,1.0803606024533852,0.9657352612836869,0.33390372965369874,Baseline
S3,1.0103535612670551,1.0879255163958017,0.9680839955001657,0.33599898078372875,Baseline
S3,1.0129022096272524,1.1366168120061009,1.0186419717612343,0.48300611007791483,Baseline
S3,1.0295983965037465,1.0773979489378311,1.11908548776886,0.7057512556645866,Baseline
S3,1.0449934013727948,0.9787342465229736,1.1946415503474295,1.6662639673144297,Baseline
S3,1.0482153787777777,0.950725810724416,1.132885380346267,1.8157327608056635,Baseline
S3,1.060353265036726,0.9912806098561765,1.1264056847587203,2.8023683659201826,Baseline
S3,1.056772576063901,0.9670711262357353,1.1068015403941576,2.3412518580001924,Baseline
S3,1.053470172355293,1.0380698641390085,1.327219942550855,1.622930379835776,Baseline
S3,1.0575479044603922,1.1103417658950108,1.4654715003234773,0.9857237315269847,Baseline
S3,1.0407492954044903,0.9142486978851129,1.5597489725726472,2.867897580817798,Baseline
S3,1.0321627819473953,1.0801469135462038,1.5167542902790518,5.534006293273492,Baseline
